surah,ayah,word_no,root
1,1,1,"س م و"
1,1,2,"ا ل ه"
1,1,3,"ر ح م"
1,1,4,"ر ح م"
1,2,1,"ح م د"
1,2,2,"ا ل ه"
1,2,3,"ر ب ب"
1,2,4,"ع ل م"
1,3,1,"ر ح م"
1,3,2,"ر ح م"
1,4,1,"م ل ك"
1,4,2,"ي و م"
1,4,3,"د ي ن"
1,5,2,"ع ب د"
1,5,4,"ع و ن"
1,6,1,"ه د ي"
1,6,2,"ص ر ط"
1,6,3,"ق و م"
1,7,1,"ص ر ط"
1,7,2,"ٱلَّذِى"
1,7,3,"ن ع م"
1,7,5,"غ ي ر"
1,7,6,"غ ض ب"
1,7,9,"ض ل ل"
2,2,2,"ك ت ب"
2,2,4,"ر ي ب"
2,2,6,"ه د ي"
2,2,7,"و ق ي"
2,3,1,"ٱلَّذِى"
2,3,2,"ا م ن"
2,3,3,"غ ي ب"
2,3,4,"ق و م"
2,3,5,"ص ل و"
2,3,7,"ر ز ق"
2,3,8,"ن ف ق"
2,4,1,"ٱلَّذِى"
2,4,2,"ا م ن"
2,4,4,"ن ز ل"
2,4,5,"إِلَىٰ"
2,4,7,"ن ز ل"
2,4,9,"ق ب ل"
2,4,10,"ا خ ر"
2,4,12,"ي ق ن"
2,5,3,"ه د ي"
2,5,5,"ر ب ب"
2,5,8,"ف ل ح"
2,6,2,"ٱلَّذِى"
2,6,3,"ك ف ر"
2,6,4,"س و ي"
2,6,6,"ن ذ ر"
2,6,7,"أَم"
2,6,9,"ن ذ ر"
2,6,11,"ا م ن"
2,7,1,"خ ت م"
2,7,2,"ا ل ه"
2,7,4,"ق ل ب"
2,7,6,"س م ع"
2,7,8,"ب ص ر"
2,7,9,"غ ش و"
2,7,11,"ع ذ ب"
2,7,12,"ع ظ م"
2,8,2,"ن و س"
2,8,4,"ق و ل"
2,8,5,"ا م ن"
2,8,6,"ا ل ه"
2,8,7,"ي و م"
2,8,8,"ا خ ر"
2,8,11,"ا م ن"
2,9,1,"خ د ع"
2,9,2,"ا ل ه"
2,9,3,"ٱلَّذِى"
2,9,4,"ا م ن"
2,9,6,"خ د ع"
2,9,7,"إِلَّا"
2,9,8,"ن ف س"
2,9,10,"ش ع ر"
2,10,2,"ق ل ب"
2,10,3,"م ر ض"
2,10,4,"ز ي د"
2,10,5,"ا ل ه"
2,10,6,"م ر ض"
2,10,8,"ع ذ ب"
2,10,9,"ا ل م"
2,10,11,"ك و ن"
2,10,12,"ك ذ ب"
2,11,1,"إِذَا"
2,11,2,"ق و ل"
2,11,5,"ف س د"
2,11,7,"ا ر ض"
2,11,8,"ق و ل"
2,11,11,"ص ل ح"
2,12,4,"ف س د"
2,12,7,"ش ع ر"
2,13,1,"إِذَا"
2,13,2,"ق و ل"
2,13,4,"ا م ن"
2,13,6,"ا م ن"
2,13,7,"ن و س"
2,13,8,"ق و ل"
2,13,9,"ا م ن"
2,13,11,"ا م ن"
2,13,12,"س ف ه"
2,13,16,"س ف ه"
2,13,19,"ع ل م"
2,14,1,"إِذَا"
2,14,2,"ل ق ي"
2,14,3,"ٱلَّذِى"
2,14,4,"ا م ن"
2,14,5,"ق و ل"
2,14,6,"ا م ن"
2,14,7,"إِذَا"
2,14,8,"خ ل و"
2,14,9,"إِلَىٰ"
2,14,10,"ش ط ن"
2,14,11,"ق و ل"
2,14,16,"ه ز ا"
2,15,1,"ا ل ه"
2,15,2,"ه ز ا"
2,15,4,"م د د"
2,15,6,"ط غ ي"
2,15,7,"ع م ه"
2,16,2,"ٱلَّذِى"
2,16,3,"ش ر ي"
2,16,4,"ض ل ل"
2,16,5,"ه د ي"
2,16,7,"ر ب ح"
2,16,8,"ت ج ر"
2,16,10,"ك و ن"
2,16,11,"ه د ي"
2,17,1,"م ث ل"
2,17,2,"م ث ل"
2,17,3,"ٱلَّذِى"
2,17,4,"و ق د"
2,17,5,"ن و ر"
2,17,7,"ض و ا"
2,17,9,"ح و ل"
2,17,10,"ذ ه ب"
2,17,11,"ا ل ه"
2,17,12,"ن و ر"
2,17,13,"ت ر ك"
2,17,15,"ظ ل م"
2,17,17,"ب ص ر"
2,18,1,"ص م م"
2,18,2,"ب ك م"
2,18,3,"ع م ي"
2,18,6,"ر ج ع"
2,19,2,"ص و ب"
